Size    ,FirstNumber         ,RSE      ,Iterations
{8500}  ,49.38662513636364   ,0.801902 ,        21
{9000}  ,53.36074054545456   ,0.471153 ,        21
{5000}  ,21.958678045454544  ,0.953594 ,        21
{2500}  , 9.518442005994007  ,1.600550 ,      1000
{1000}  , 3.566467797202796  ,1.594954 ,      1000
{7000}  ,44.41131013636364   ,0.501516 ,        21
{3000}  ,13.037615354645341  ,1.099137 ,      1000
{7500}  ,41.912314695652164  ,0.973204 ,        22
{9500}  ,58.45338536363638   ,0.319538 ,        21
{9500}  ,85.8278995          ,0.308984 ,        21
{7000}  ,42.68402389285715   ,0.983504 ,        27
{10000} ,62.67098795454546   ,0.374467 ,        21
{5500}  ,26.20731030434783   ,0.972537 ,        22
{500}   , 0.886148337662338  ,1.915216 ,      1000
{7500}  ,51.35518440625      ,0.994553 ,        31
{5500}  ,24.915818000000005  ,0.405308 ,        21
{7500}  ,47.84930622727273   ,0.387863 ,        21
{1000}  , 2.9963144735264757 ,1.894234 ,      1000
{9000}  ,72.53079172727273   ,0.480955 ,        21
{10000} ,97.22449136363637   ,0.302106 ,        21
{6000}  ,29.674933000000017  ,0.997643 ,       102
{3000}  ,12.165880536463536  ,1.265403 ,      1000
{1500}  , 7.287147381618385  ,1.523097 ,      1000
{3500}  ,14.126385437832088  ,0.999618 ,       936
{5000}  ,22.113239317073173  ,0.998932 ,       163
{4000}  ,15.640231673504282  ,0.999206 ,       584
{2000}  , 9.400689505494498  ,1.551594 ,      1000
{6500}  ,37.14161827272727   ,0.372687 ,        21
{9500}  ,82.41456863636364   ,0.304201 ,        21
{6000}  ,31.1340660882353    ,0.999154 ,        33
{5500}  ,27.189059500000006  ,0.998427 ,        39
{3000}  ,11.366108266733248  ,1.315198 ,      1000
{6000}  ,30.80553009090909   ,0.731675 ,        21
{500}   , 0.8041082217782209 ,2.195530 ,      1000
{8000}  ,58.754407227272715  ,0.642597 ,        21
{1000}  , 5.5419770139860205 ,1.209464 ,      1000
{1500}  , 2.244716551724138  ,0.981731 ,        28
{3500}  ,13.485679789704268  ,0.999858 ,       911
{1500}  , 5.624442187812191  ,1.761641 ,      1000
{7000}  ,36.773056565217395  ,0.989680 ,        22
{8000}  ,55.21069713636364   ,0.400818 ,        21
{8000}  ,44.73557245454546   ,0.754001 ,        21
{500}   , 1.132318866133866  ,1.382080 ,      1000
{10000} ,91.74418904545456   ,0.783663 ,        21
{4000}  ,16.193374936170216  ,0.999344 ,       469
{9000}  ,76.05406813636365   ,0.433514 ,        21
{2500}  ,10.63352421978022   ,1.306874 ,      1000
{4000}  ,15.956222547368421  ,0.999148 ,       189
{6500}  ,35.822826318181825  ,0.326422 ,        21
{4500}  ,17.437478045454547  ,0.539783 ,        21
{8500}  ,67.44838054545454   ,0.941817 ,        21
{5000}  ,23.01290282008366   ,0.998251 ,       238
{2000}  , 7.55990368831169   ,1.700981 ,      1000
{8500}  ,63.14378754545455   ,0.442521 ,        21
{2000}  , 9.535691676323681  ,1.574358 ,      1000
{2500}  , 9.128983763236766  ,1.476792 ,      1000
{3500}  ,14.954609411622268  ,0.999453 ,       825
{6500}  ,32.571252           ,0.979455 ,        25
{4500}  ,18.78894675225224   ,0.998861 ,       221
{4500}  ,18.172588627450978  ,0.989793 ,        50
